regiao;meta produto;meta serviço externo;meta serviço interno;email interno;email externo
REGIÃO1;100000;35416,67;18750;vendedor01@hotmail.com;exemplo@hotmail.com
REGIÃO2;100001;35417,67;18751;vendedor02@hotmail.com;exemplo@hotmail.com
REGIÃO3;100002;35418,67;18752;vendedor03@hotmail.com;exemplo@hotmail.com
REGIÃO4;100003;35419,67;18753;vendedor04@hotmail.com;exemplo@hotmail.com
REGIÃO5;100004;35420,67;18754;vendedor05@hotmail.com;exemplo@hotmail.com
REGIÃO6;100005;35421,67;18755;vendedor06@hotmail.com;exemplo@hotmail.com
REGIÃO7;100006;35422,67;18756;vendedor07@hotmail.com;exemplo@hotmail.com
REGIÃO8;100007;35423,67;18757;vendedor08@hotmail.com;exemplo@hotmail.com
REGIÃO9;100008;35424,67;18758;vendedor09@hotmail.com;exemplo@hotmail.com
REGIÃO10;100009;35425,67;18759;vendedor10@hotmail.com;exemplo@hotmail.com
